short_name,skip_score,location_city,cussine_list
calavera cantina,83,Calgary,Mexican
calcutta cricket club,81,Calgary,Indian
calgary court restaurant,79,Calgary,Chinese
calgary hot plate restaurant,80,Calgary,Indian
calgary momo house,74,Calgary,Chinese
calgary shawarma,94,Calgary,Mediterranean
calgary shawarma restaurant,78,Calgary,"Middle Eastern, Mediterranean"
california thai,92,Calgary,"Thai, Vietnamese"
caltons chinese restaurant,91,Calgary,"Thai, Chinese"
calypso's taverna,78,Calgary,Mediterranean
canadian pizza & halal unit,80,Calgary,Fast Food
canadian pizza unlimited,92,Calgary,"Fast Food, Italian"
canadian pizza unlimited - abbeydale,80,Calgary,"Fast Food, Italian, Indian"
canadian pizza unlimited and fritou,92,Calgary,Pub Food
canco,72,Calgary,Convenience
canelos ice cream,80,Calgary,Mexican
canterra cafe,80,Calgary,Chinese
canyon meadows cinemas,90,Calgary,Fast Food
caodu,80,Calgary,Chinese
captain's sports lounge and grill,87,Calgary,Pub Food
cardinale,82,Calgary,Italian
caribbean choice food,81,Calgary,Caribbean
carino,72,Calgary,Italian
carl's jr.,99,Calgary,Fast Food
carl's jr. - dnu,91,Calgary,Fast Food
carmine's pizzeria,100,Calgary,"Fast Food, Italian"
carnitas el patron,75,Calgary,Mexican
cat n fiddle pub,80,Calgary,"Fast Food, Pub Food"
catalina pizza & chicken,83,Calgary,Italian
cattlebaron steakhouse - royal oak,99,Calgary,Mediterranean
cedars deli,91,Calgary,"Middle Eastern, Mediterranean"
ceili's,80,Calgary,"Pub Food, Mexican"
centex go market,80,Calgary,Convenience
centini restaurant & lounge,80,Calgary,Italian
central grand restaurant,98,Calgary,Chinese
centre one,80,Calgary,Chinese
centre point grocery,75,Calgary,Convenience
centre street japanese hot pot,72,Calgary,Japanese
centre street japanese hotpot,80,Calgary,Japanese
century casino calgary,75,Calgary,Pub Food
cha cha's cafe and restaurant,80,Calgary,"African, Indian"
chachi's,92,Calgary,Fast Food
chai pani,93,Calgary,Indian
chai pani chestermere,80,Calgary,Indian
charbar,90,Calgary,Spanish
charcuterie vegan deli,73,Calgary,Italian
chat house,92,Calgary,Indian
chatkhara,80,Calgary,Indian
cheezy tales,92,Calgary,Korean
chef tian restaurant,80,Calgary,Chinese
chen's dumplings,80,Calgary,Vietnamese
chennai dosai,80,Calgary,Indian
chennai spices,86,Calgary,Indian
cheung's kitchen,80,Calgary,Chinese
chewgurt yummy,93,Calgary,Chinese
chi lan vietnamese restaurant,86,Calgary,Vietnamese
chiang mai thai food,72,Calgary,"Thai, Chinese"
chianti cafe,85,Calgary,Italian
chianti cafe & restaurant,91,Calgary,Italian
chicago deep dish pizza,97,Calgary,"Fast Food, Italian"
chicken family,93,Calgary,Korean
chicken haus,80,Calgary,Korean
chicken heroes,93,Calgary,Fast Food
chicken khurana,74,Calgary,Indian
chicken louie,93,Calgary,Pub Food
chicking.yyc ramen shop,91,Calgary,Chinese
chicko chicken,97,Calgary,Pub Food
chickzy,91,Calgary,Fast Food
chili club thai house,90,Calgary,Thai
chili garden chinese and thai,67,Calgary,"Thai, Chinese"
chili island,98,Calgary,"Thai, Chinese"
chilitos taberna mexicana,94,Calgary,Mexican
chilitos taqueria,93,Calgary,Mexican
chimac restaurant,75,Calgary,Korean
china palace restaurant,87,Calgary,Chinese
china rose,82,Calgary,Chinese
china taste,72,Calgary,Chinese
chine hot pot & noodles,83,Calgary,"Thai, Korean, Vietnamese, Chinese"
chinese cultural centre cuisine,94,Calgary,Chinese
chinese takeout 25,81,Calgary,Chinese
chinese village restaurant,80,Calgary,Chinese
cho's sushi,91,Calgary,Japanese
choice's,80,Calgary,Vietnamese
choices crowfoot,76,Calgary,Vietnamese
chorizo fresh mex,87,Calgary,"Latin American, Mexican"
christos greek,80,Calgary,Mediterranean
chuck n shoulder,72,Calgary,Fast Food
churro burger,93,Calgary,Pub Food
cibo,89,Calgary,Italian
cilantro,75,Calgary,Italian
cineplex - scotiabank theatre,73,Calgary,Fast Food
cineplex - silvercity cinemas,90,Calgary,Fast Food
cineplex cinemas,96,Calgary,Fast Food
cineplex vip cinemas,88,Calgary,Fast Food
cinnamon indian cuisine and bar,80,Calgary,Indian
circle k,74,Calgary,Convenience
citizen brewing company - restaurant,87,Calgary,Pub Food
city pub calgary,98,Calgary,Pub Food
classy pizza 786,85,Calgary,"Fast Food, Middle Eastern, Indian"
clay oven,92,Calgary,Indian
clay oven calgary,82,Calgary,Indian
clay pot asian food kitchen,92,Calgary,Chinese
clay pot rice,93,Calgary,Chinese
clive burger,80,Calgary,"Fast Food, Pub Food"
clubhouse family restaurant,80,Calgary,"Fast Food, Korean"
