,African,Alcohol,Bakery,Barbecue,Beef,Breakfast & Brunch,Bubble Tea,Burgers,Butcher,Canadian,Caribbean,Chicken,Chinese,Coffee/Tea,Convenience,Desserts,Ethiopian,Fast Food,Filipino,French,Fries,German,Gluten Free,Halal,Haute Cuisine,Healthy,Hot Dogs & Sausages,Indian,Italian,Japanese,Korean,Kosher,Lamb,Latin American,Mediterranean,Mexican,Middle Eastern,Noodles,Pet Food,Pizza,Popcorn,Pork,Pub Food,Rice,Sandwiches & Subs,Seafood,Soup,Spanish,Steakhouse,Sushi,Tacos,Thai,Vegetarian,Vietnamese
Caribbean,0.39829643541704784,0.40464132465386654,0.4225872320787682,0.418308816805798,0.41837989000576736,0.41958172606326044,0.40416144500904044,0.4335820451013474,0.4135743278342259,0.40710955856270675,0.9988089017872187,0.4355550562303837,0.4084697306594253,0.4134250289222608,0.43167165800119306,0.424065009609274,0.40241278724957064,0.4199439388914581,0.3985636250308056,0.40841953938398495,0.41188284851341317,0.3988255026313605,0.41193867193962636,0.42117998815020613,0.3987822820486274,0.42150779920618775,0.4117772488506796,0.40563266056950553,0.40541864334742805,0.40984104220341266,0.40644496569108446,0.39821550375559134,0.4027219011562958,0.41304901759326235,0.40363028853065297,0.4220091729258712,0.4088203537901873,0.40930439821252834,0.41665996706950165,0.4122232323908988,0.40082745896984334,0.41454278159377356,0.4177915956754348,0.4195847081297206,0.4204681532889652,0.4253122223894554,0.4130526870227129,0.4001499218423677,0.4054940882515654,0.4084071490828439,0.41875494552201326,0.40480395753688714,0.4063975224884052,0.40398824626919205
Chicken,0.40419430835035847,0.4573128602998905,0.7497328585621448,0.7893531132154106,0.7970719774015672,0.6577247543037202,0.49542522683137885,0.830469282469163,0.5704151800468581,0.5947356755002348,0.4355550562303837,0.9988089017872187,0.6695620790205858,0.6172815199337993,0.4493983284074662,0.6716476423520612,0.40713241500081604,0.8576600323480782,0.4134318530794767,0.5328835272193387,0.7614888719251053,0.41191542145691445,0.4228614562080885,0.41765575417733736,0.4014761616466126,0.7268344367841486,0.5736736124644791,0.7207056642470454,0.534675156120783,0.7013973807390215,0.48988439018209234,0.4071685739582007,0.5254891405257087,0.42170686767616583,0.5485085387047843,0.5645384102824895,0.6803139299176166,0.7185062897945276,0.4795606171713337,0.6368706040608211,0.5232009758014232,0.7469873546684493,0.7285365968962956,0.7912737566446886,0.8479875104170583,0.6761715181380195,0.6481783733775159,0.4457794705733491,0.5327776384838308,0.48635169592891164,0.5051075121442491,0.5282143105771423,0.5388796944373944,0.5326607169751428
Chinese,0.4044522878818994,0.4222134880591478,0.5091476186993125,0.5981363358248499,0.7013219224494649,0.5281052866382634,0.4609568295536281,0.49325274930712,0.4918258751676206,0.4499063619710745,0.4084697306594253,0.6695620790205858,0.9988089017872187,0.4661522376672669,0.4088978120562781,0.4741189113340875,0.39982904671300556,0.5179077961632117,0.4027668820137698,0.4503077028186348,0.4763121180716995,0.40435710672659975,0.40899132838135926,0.3994487488621741,0.39948165303638816,0.6459346453285144,0.4533793697380006,0.45951723833506214,0.44774757979461416,0.6336188818031274,0.45655736780840817,0.4014159240555937,0.43122357386452537,0.4073120518576364,0.4509071303071131,0.4466001184846114,0.4621256664312295,0.6573689064021644,0.4357260655554628,0.4757336629267519,0.4228151198252086,0.6970190020030247,0.48521643805068054,0.6786252434497783,0.5104791778429356,0.69471634329389,0.794837486154066,0.4155204009141454,0.44617462777916245,0.5083006030947579,0.43574249840601326,0.4923485001413419,0.5183264458540408,0.49085070405080883
Coffee/Tea,0.40132134867638414,0.44200736921029804,0.6657650217293271,0.5090749953789688,0.5570419275802385,0.6338100967089012,0.6437683830345243,0.5444631213374238,0.49749435638700196,0.4661385155003756,0.4134250289222608,0.6172815199337993,0.4661522376672669,0.9988089017872187,0.44036175417819345,0.5723468740976002,0.4067592027375163,0.6029940395390682,0.40974369744534794,0.5550683828041925,0.5171748085614377,0.4016687180870658,0.40815844253879996,0.41335455018711054,0.39966964912422603,0.5568972638916964,0.5533883846522513,0.47134262385478937,0.4387959500398053,0.4979157708264417,0.4202418877730173,0.3998121038260476,0.46335769586559317,0.41246966832054804,0.5838737534643267,0.4601224559714597,0.5623692870038082,0.48616889801893154,0.44599395304639744,0.4610867803610779,0.4261944367762725,0.5308578816588347,0.47699163361363617,0.48687251737422965,0.5915333985519816,0.5021879750663122,0.48431187241140866,0.4172989443810417,0.45126769338715383,0.5347543992258869,0.4394035392929402,0.4293426334655411,0.46678430334883053,0.4551449950250419
Convenience,0.3986000264383331,0.41448431513796824,0.45334167084163407,0.4177579158215588,0.42906748117461463,0.43508940429149257,0.40971932848507364,0.45300525429845145,0.44506085414239294,0.41796859120108676,0.43167165800119306,0.4493983284074662,0.4088978120562781,0.44036175417819345,0.9988089017872187,0.4815480224811292,0.398237061419927,0.46669834928027626,0.3983185432723229,0.4101725635067283,0.43207386612172194,0.39948686553596563,0.3990900248912332,0.39876143279601123,0.3984446820166212,0.4350301858925101,0.4314984007933457,0.40588092282382227,0.41321459885357525,0.41174116836100366,0.4017598858579644,0.39866516208872943,0.4004231043207049,0.4037175078896471,0.4086858091827677,0.4773798102297422,0.4115082075037458,0.4145845810617999,0.4480475803250742,0.42245463975341735,0.40893330829231833,0.4291263045662433,0.4432876142237819,0.40890203796475805,0.44460691248919254,0.41080564992167773,0.4139623358119124,0.40230407260238965,0.41202656395541637,0.4027914181114844,0.4071930983423752,0.40129134304376907,0.40599918299843446,0.4071889953274835
Desserts,0.40124461174548803,0.43568829950094284,0.778723261263375,0.5440432744219365,0.5358684627076206,0.6011386379216209,0.46190792843980044,0.6936746391384429,0.6505346303344876,0.519212654421054,0.424065009609274,0.6716476423520612,0.4741189113340875,0.5723468740976002,0.4815480224811292,0.9988089017872187,0.4000610409056486,0.6737517148238334,0.4014034404638808,0.5278193104835592,0.6364224327138983,0.40848678658003124,0.4096145966875171,0.4069590731533402,0.4047306503847343,0.5657227422087338,0.5231505227202898,0.4747064870145249,0.4887083899561964,0.48707263980711696,0.42124141467333603,0.40231679361742556,0.4233039759618085,0.42860393849118134,0.47155976799406024,0.5008078070353358,0.47560732031993963,0.4899349618016903,0.4707030383356304,0.5147962301272988,0.46718849726840617,0.5932718022556792,0.5252296825196096,0.48686722977306196,0.6538472892633879,0.5061323276914514,0.47995089591515255,0.43420856314773576,0.48778028328887224,0.43574558514839806,0.4470782158196503,0.4310967049918957,0.4689808832366708,0.4407957061367266
Ethiopian,0.3983805535712192,0.3989552549259699,0.40095489939970697,0.40072942393182603,0.41954581976689953,0.40324814847208956,0.39855230659460866,0.40434676552004023,0.402016587874315,0.3994198602397828,0.40241278724957064,0.40713241500081604,0.39982904671300556,0.4067592027375163,0.398237061419927,0.4000610409056486,0.9988089017872187,0.40553888480996875,0.39818573428147064,0.39946314570349983,0.4000716507288252,0.39825723644435473,0.3982089046816545,0.3995411767256127,0.39816831597106883,0.40452521063541025,0.39894325098194156,0.40071369421262143,0.40620364519149516,0.3996217744143757,0.39826962993639425,0.39816831597106883,0.4522208853356325,0.3982439449038482,0.39981457973941165,0.40025996388990176,0.4023221457271157,0.3993940798735645,0.3994734739825359,0.40083817445056524,0.3985338458404178,0.3988064080558252,0.40057219492227847,0.4011799046353241,0.4017745749861648,0.40116693799615544,0.3995997536159836,0.3983466617183674,0.39903534394183166,0.3990664568026007,0.399082835766267,0.39862630753204215,0.4085068426214511,0.3983885600084382
Fast Food,0.40193664082138403,0.45493485111425447,0.7699807900742248,0.592033474140714,0.6300163067118606,0.6949599975426505,0.4605597460031532,0.9563339663084969,0.5383823992289947,0.5520602682887844,0.4199439388914581,0.8576600323480782,0.5179077961632117,0.6029940395390682,0.46669834928027626,0.6737517148238334,0.40553888480996875,0.9988089017872187,0.4075038771939903,0.494683234588034,0.7175608758271366,0.4051606189032322,0.409719109455678,0.4141617419784089,0.4012002958094982,0.5957040481275446,0.6716377325826828,0.4706432571482856,0.48112853878948314,0.5447410705056562,0.43227253161578155,0.40409154774394423,0.4382488225772733,0.4136461351022513,0.6865721116199194,0.5502739930061339,0.5459253736337746,0.5249056462054267,0.4803801785024146,0.5325219176125644,0.46982536908783146,0.7265699231878107,0.5845643048638236,0.5274873617832974,0.8155284556970405,0.5814579708905729,0.5194028663554119,0.44797844626685024,0.5162006475340477,0.4965393676133507,0.4830842270039654,0.4409562523461351,0.5022462983466104,0.45840412744405906
Filipino,0.3981814644435918,0.3997345512840773,0.40497508143033467,0.40626525199568536,0.4151047989710101,0.40468162604728686,0.4047211418814613,0.4026836029102668,0.40174337501602725,0.40053827469112624,0.3985636250308056,0.4134318530794767,0.4027668820137698,0.40974369744534794,0.3983185432723229,0.4014034404638808,0.39818573428147064,0.4075038771939903,0.9988089017872187,0.4003844764831878,0.4024255177279999,0.39853872494529,0.3981697589004017,0.3982100572002123,0.39838458991694037,0.4054350354806278,0.4015425636571241,0.4013727834030462,0.40177202562344916,0.40391927071853245,0.39963112516476074,0.39816831597106883,0.400072619921571,0.4033074404457851,0.39956048363057145,0.400472294257004,0.40286817715439316,0.40919918475477246,0.40170633078247897,0.40097173362293587,0.3991242985425038,0.43352536429415245,0.40644669859222343,0.4426554591320496,0.40214714649923206,0.4090481169927449,0.4078051342713554,0.40275215606992565,0.40067338578423783,0.39978540198344775,0.3993637959605422,0.39932682119171004,0.3990970765085881,0.40264782041400415
French,0.3989129481122069,0.41337606047285747,0.5896726039564876,0.49022663524299825,0.4938844490906733,0.625657658810866,0.42706521135071407,0.4969192192718853,0.46328756479246425,0.4470274010122722,0.40841953938398495,0.5328835272193387,0.4503077028186348,0.5550683828041925,0.4101725635067283,0.5278193104835592,0.39946314570349983,0.494683234588034,0.4003844764831878,0.9988089017872187,0.6047821375026534,0.40041916008472167,0.40203256079774324,0.40737349284575036,0.39948678840451124,0.48819537937986823,0.48913963064757837,0.4448852410080154,0.43210956401864853,0.4418266561818,0.4167897700127228,0.40073310081927854,0.41596849294716215,0.4058955460788925,0.43642100296980935,0.43546943015283684,0.4481962134424168,0.4565422949725066,0.42795346005907375,0.4498530179939659,0.4150027944740854,0.506329329101495,0.47546605123507085,0.4592177576804852,0.5202234257785655,0.45970073542549256,0.47588285824729204,0.4142123355633243,0.4367739827010903,0.4174350270457389,0.4225339927758437,0.41484543590593176,0.4477744052914456,0.4300145344255615
